tweet,class
 RT mayasolovely As a woman you shouldnt complain about cleaning up your house amp as a man you should always take the trash out,No Hate and No offensive Speech
 RT mleew17 boy dats coldtyga dwn bad for cuffin dat hoe in the 1st place,Offensive Speech
 RT UrKindOfBrand Dawg RT 80sbaby4life You ever fuck a bitch and she start to cry You be confused as shit,Offensive Speech
 RT CGAnderson vivabased she look like a tranny,Offensive Speech
 RT ShenikaRoberts The shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361,Offensive Speech
TMadisonx The shit just blows meclaim you so faithful and down for somebody but still fucking with hoes 128514128514128514,Offensive Speech
BrighterDays I can not just sit up and HATE on another bitch  I got too much shit going on,Offensive Speech
8220selfiequeenbri cause Im tired of you big bitches coming for us skinny girls8221,Offensive Speech
 amp you might not get ya bitch back amp thats that ,Offensive Speech
" rhythmixx hobbies include fighting Mariam

bitch",Offensive Speech
 Keeks is a bitch she curves everyone  lol I walked into a conversation like this Smh,Offensive Speech
 Murda Gang bitch its Gang Land ,Offensive Speech
 So hoes that smoke are losers   yea  go on IG,Offensive Speech
 bad bitches is the only thing that i like ,Offensive Speech
 bitch get up off me ,Offensive Speech
 bitch nigga miss me with it ,Offensive Speech
 bitch plz whatever ,Offensive Speech
 bitch who do you love ,Offensive Speech
 bitches get cut off everyday B ,Offensive Speech
 black bottle amp a bad bitch ,Offensive Speech
 broke bitch cant tell me nothing ,Offensive Speech
 cancel that bitch like Nino ,Offensive Speech
 cant you see these hoes wont change ,Offensive Speech
 fuck no that bitch dont even suck dick  128514128514128514 the Kermit videos bout to fuck IG up,Offensive Speech
 got ya bitch tip toeing on my hardwood floors  128514 httptcocOU2WQ5L4q,Offensive Speech
 her pussy lips like Heaven doors  128524,Offensive Speech
 hoe what its hitting for ,Offensive Speech
 i met that pussy on Ocean Dr  i gave that pussy a pill  128524,Offensive Speech
 i need a trippy bitch who fuck on Hennessy ,Offensive Speech
 i spend my money how i want bitch its my business ,Offensive Speech
 i txt my old bitch my new bitch pussy wetter ,Offensive Speech
 id say im back to the old me but my old bitches would get excited  128524,Offensive Speech
 if you aint bout that Murder Game pussy nigga shut up ,Offensive Speech
 if youre toes aint done you pussy stinks ,Offensive Speech
 im done with bitter bitches its a wrap for that  if you a angry bird theres a app for that ,Offensive Speech
 is that ya bitch ,Offensive Speech
 it aint nothing to cut a bitch off ,Offensive Speech
 jus meet son now he ya mane ass bitches  Shots,Offensive Speech
 lames crying over hoes thats tears of a clown ,Offensive Speech
 like Snoop said in 94 we dont love these hoes ,Offensive Speech
 momma said no pussy cats inside my doghouse ,No Hate and No offensive Speech
 most hated but the hoes favorite  2MW SevenOne  httptcoBMdSVMc3rC,Offensive Speech
 nice girls bad make me get naughty Bad yello hoe real nice body Down south chick like em real thick httptcobzRDl3kF7U,Offensive Speech
 pimps up pimps up hoes down  Future voice,Offensive Speech
 post a picture of that pussy get 200 likes ,Offensive Speech
 pussy is a powerful drug  128517 HappyHumpDay httptcoR8jsymiB5b,Offensive Speech
 quick piece of pussy call it a drive by ,Offensive Speech
 running round here like some brand new pussy thats bout to get fucked ,Offensive Speech
 these bitches even worst theyll send them guys for you ,Offensive Speech
 these hoes like niggas that spend money not talk bout it ,Offensive Speech
 we dont trust these niggas all these bitches ,Offensive Speech
 yall niggas b cuffing hoes cause yall aint never have bitches ,Offensive Speech
 you dodge a bullet  128517 8220DaRealKha All da bitches I cut off pregnant or bound to be thank God 1285918221,Offensive Speech
 young Pill Chamberlain these bitches love my music ,Offensive Speech
128514128514128514128514128514128514128514128514128514128514128514VandalSavage Teanna Trump probably cleaner than most of these twitter hoes but,Offensive Speech
128514128514128514128514128514128514128514128514128514128514DaHomieFuzz Gay niggas couldnt wait to act like bitches tonight,Offensive Speech
128514128514128514TheParadox And ima steal his cat n replace it with a pitbull 128514128514128514128514 RT 80sbaby4life TheParadox He a bitch you should do it,Offensive Speech
amp hes gone always be a hoe,Offensive Speech
"Son of a bitch took my Tic Tacs

I like this movie",Offensive Speech
All I wanna do is get money and fuck model bitches  Russell Simmons,Offensive Speech
2015seniorprobs I probably wouldn8217t mind school as much if we didn8217t have to deal with bitch ass teachers Retweet,Offensive Speech
A7XDemery Im a fucking fag they said,Offensive Speech
ARIZZLEINDACUT Females think dating a pussy is cute now httptcoVxBJg26Gsz how does doing this stuff make him a pussy,Offensive Speech
Addicted2Guys SimplyAddictedToGuys httptco1jL4hi8ZMF woof woof hot scally lad,No Hate and No offensive Speech
AdoreBellaaa Have ya ever asked your bitch for other bitches  kanye voice Yes,Offensive Speech
AdoreZoey How u gone bring ur side bitch to a game where You know Ya gf friends at  128553128553128553128553 I SWEAR,Offensive Speech
AllAboutManFeet httptco3gzUpfuMev woof woof and hot soles,No Hate and No offensive Speech
Allyhaaaaa Lemmie eat a Oreo amp do these dishes One oreo Lol,No Hate and No offensive Speech
Almightywayne JetsAndASwisher Gook bitch fuck u httptcopXmGA68NC1 maybe youll get better Just httptcoTPreVwfq0S,Offensive Speech
Almightywayne Fuck Red Malone man bitch ass niggah could you please use complete sentences,Offensive Speech
ArizonasFinest6 Why the eggplant emoji doey he say she looked like scream lmao,No Hate and No offensive Speech
AutoWorId Hennessey Venom GT 128584 httptcoi8eGMnKaJ9 thats one sexy bitch,Offensive Speech
BOSSBYTCHH Him seh me pussy wetter then a shower curtainahmesehwetnessltlmao,Offensive Speech
BROHEN314 Eaglesnation and every Eagles need to see that pic I just posted because that bitch just said the most racist shit,Offensive Speech
"BVSEDCHINK Yo fuck skateboarding all yall some wood pushing faggots man ball is life httptcoVBCzP6HMT7
AmJemieBenn",Offensive Speech
"BabyAnimalPics baby monkey bathtime httptco7KPWAdLF0R
Awwwwe This is soooo ADORABLE",No Hate and No offensive Speech
BaylaaGottaBody 128514128514128514128514 I aint shit  Damn Skippy lol,Offensive Speech
BeEasyJrizzy u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b gt30chance,Offensive Speech
BeenBasedB KudaBrazyy httptcoLuUBGL9Y5u 0 rings 0 mvps 0 bitches lol,Offensive Speech
BeenFLYnSolo ppl talk bad about the ghettohood  but as a kid growing up a nigga had funnnnnnn ,Offensive Speech
BestProAdvice The facts on tattoostattoo httptcoZwnbhpDZ8e hes a pussy with not tattooing them nipples,Offensive Speech
Bill215 128175128175128175 RT nelayden Bitches be wanting to act like niggas so bad 128553128553128553 that shit aint cuteeeee but niggas act like bitches,Offensive Speech
BitchJones92 Get worshiping bitch httptcoR37CejCjou woof woof,Offensive Speech
BlackChiquitita Wow RT thatmanpalmer Im lost Are those buttcheek piercings httptcoyn6guyOUQ6 yeah shes a hoe,Offensive Speech
BlackNerdJade Ok sis Shed rather be a broke bitch shrugs shell have to tell me how it works for her,Offensive Speech
Blackman38Tide WhaleLookyHere HowdyDowdy11 queer gaywad,Hate Speech
BrokenPiecesmsc ItsNotAdam faggot read my tweets after dat k it wasnt even funny lol,Offensive Speech
BrosConfessions This bitch was so ungrateful httptco06e77bGwbx fr  LULWHORE,Offensive Speech
CASHandBOOBIES I been kidnapped yo bitch,Offensive Speech
CBBaby24 whitethunduh alsarabsss hes a beaner smh you can tell hes a mexican,Hate Speech
CCobey AydanMcCoy happy birthday nigs Thanks yo,Offensive Speech
CHlLDHOODRUINER when ur teacher tells u that u have homework httpstcoRKk5vawIj1 this bitch need to go,Offensive Speech
CaelanG15 22EdHam CaelanG15 that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul httptcoOSIpBKPr9h,Offensive Speech
CanIFuckOrNah What would yall lil ugly bald headed bitches do if they stop making makeup amp weave,Offensive Speech
CarelessOne92 Leafs better win this damn game so I can go riot and shit EarlyChristmas you better start looting my nig,Offensive Speech
CauseWereGuys Going back to school sucks more dick than the hoes who attend it,Offensive Speech
CauseWereGuys On my way to fuck yo bitch httptcoj906T5zE2R me as a 9 year old,Offensive Speech
CeleyNichole whitethunduh how come you never bring me food i dont have a car retard,Offensive Speech
ChadMFVerbeck If Richnow doesnt show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople,Offensive Speech
ChandlerParsons How bout them Cowboys Shutup pussy,Offensive Speech
ClicquotSuave LMAOOOOOOOOOOO this nigga KrillzNuhCare httptcoAAnpSUjmYI ltbitch want likes for some depressing shitfoh,Offensive Speech
ColeyCee lilaerii girl you know I was spitting that G shit to you amp you was going lbvsbitch plz,Offensive Speech
ColeyCee Let me make a couple tweets off cuzzo page so I wont get in twitter jaillmao bitch dont trick me again,Offensive Speech
ComedyPosts Harlem shake is just an excuse to go full retard for 30 seconds,Offensive Speech
ComedyTruth amen miley 128591 httptcoP2Kb2tfyxrokay but she dont need to act like a hoe just bc shes emotionally damaged foh,Offensive Speech
